amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
111-3123280-5512263	111-3123280-5512263	2020-08-26T00:26:12+00:00	2020-08-27T06:46:42+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								CARROLLTON	TX	75010-4341	US	VPC-1-133436623 Coupon	false		
111-9658915-4901824	111-9658915-4901824	2020-08-26T18:42:51+00:00	2020-08-27T06:46:35+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								SAINT LOUIS	MO	63146-5727	US	VPC-1-133511990 Coupon	false		
113-4463266-0806629	113-4463266-0806629	2020-08-26T00:16:52+00:00	2020-08-27T06:41:51+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								EVERGREEN PARK	ILLINOIS	60805-2111	US	VPC-1-133436623 Coupon	false		
113-5009473-1833059	113-5009473-1833059	2020-08-26T00:13:10+00:00	2020-08-27T06:30:13+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								GARLAND	TX	75041-6238	US	VPC-1-133436623 Coupon	false		
113-7175681-5666627	113-7175681-5666627	2020-08-26T00:21:24+00:00	2020-08-27T06:26:33+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								ROSEVILLE	CALIFORNIA	95747-8844	US	VPC-1-133436623 Coupon	false		
112-8807689-7312235	112-8807689-7312235	2020-08-26T03:27:04+00:00	2020-08-27T06:04:52+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Bogota	Colombia	110221	CO	VPC-1-133511990 Coupon	false		
112-8300627-2027452	112-8300627-2027452	2020-08-26T00:30:24+00:00	2020-08-27T04:22:31+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								WINSTON SALEM	NC	27103-6778	US	VPC-1-133436623 Coupon	false		
111-8563683-7069053	111-8563683-7069053	2020-08-26T01:22:25+00:00	2020-08-27T03:44:14+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								MESQUITE	TX	75150-3117	US	VPC-1-133436623 Coupon	false		
111-3521384-4215416	111-3521384-4215416	2020-08-26T00:09:29+00:00	2020-08-27T03:28:19+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								CHICAGO	IL	60647-0015	US	VPC-1-133436623 Coupon	false		
111-7578724-8917828	111-7578724-8917828	2020-08-26T00:17:42+00:00	2020-08-27T03:25:39+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								RAYNHAM	MA	02767-1740	US	VPC-1-133436623 Coupon	false		
113-5304190-6459404	113-5304190-6459404	2020-08-26T00:09:46+00:00	2020-08-27T03:02:07+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Irvine	CA	92602	US	VPC-1-133436623 Coupon	false		
114-8722848-4269846	114-8722848-4269846	2020-08-26T07:33:07+00:00	2020-08-27T02:58:29+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								PALOS PARK	IL	60464-1069	US	VPC-1-133511990 Coupon	false		
112-9239418-2000208	112-9239418-2000208	2020-08-26T00:14:37+00:00	2020-08-27T02:57:55+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								REDLANDS	CA	92374-6356	US	VPC-1-133436623 Coupon	false		
112-8300799-0062621	112-8300799-0062621	2020-08-26T16:54:43+00:00	2020-08-27T02:55:13+00:00	Shipped	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	40.89	1.62					20.0		SAN DIEGO	CA	92126-7431	US	VPC-1-133511990 Coupon	false		
